BRF,HN,behavior,device,channel,generated,reason
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN009,Habilitar funcionalidad TV Everywhere,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN010,No liberar a producción el alta del canal América TV,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-17465,HN002,Implementar el logotipo del canal América TV,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN001,Integrar add on Crunchyroll,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN002,Iniciar el flujo de contratación,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN003,Cancelación,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,Fire TV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN004,Implementar logos del add on Crunchyroll,Android TV STV,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN005,Implementar tarjeta en Plan Selector,WEB,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN005,Implementar tarjeta en Plan Selector,AAF,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN005,Implementar tarjeta en Plan Selector,Android,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN005,Implementar tarjeta en Plan Selector,iOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN005,Implementar tarjeta en Plan Selector,tvOS,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN005,Implementar tarjeta en Plan Selector,Windows/XBOX,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN005,Implementar tarjeta en Plan Selector,Consolas,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
BRF-16018,HN005,Implementar tarjeta en Plan Selector,Roku,—,True,1 comportamiento IN_SCOPE ejecutable × 1 dispositivo aplicable.
